,Name,HC,Coin,InitialCap,Status,TGOnline,Countdown,profile_link,Audit,Doxx,KYC,Safu,discord,telegram,twitter,website,Category,start_time,end_time
19,Wallax,150K,USDT,$1M,Upcoming,32 / 292,05:04:14:23,https://www.pinksale.finance/launchpad/0xDf922A83Af6Fb5553E16193211575376DA6a73C3?chain=BSC,True,False,False,False,,https://t.me/wallax_chat,https://twitter.com/Wallax_io,https://wallax.io,Public Presale,2023.01.30 16:00 (UTC),2023.02.03 18:00 (UTC)
20,Meta Genesis,Fairlaunch,BNB,$126.8K,126.3/50, / 2.3K,00:00:00:00,https://www.pinksale.finance/launchpad/0x6952EE261cA75019F540355d0A234F276d5F68Fb?chain=BSC,True,False,True,True,https://discord.gg/s3YswSwqNu,https://t.me/MetaGenesisPortal,https://twitter.com/metagenesiscoin,https://metagenesistoken.com/,Fair Launch,2023.01.24 14:00 (UTC),2023.01.26 14:00 (UTC)
21,CACTUS,Fairlaunch,BNB,$60.2K,Upcoming,54 / 1.1K,24:04:14:23,https://www.pinksale.finance/launchpad/0xbf2e76Bb8C19E2E2b5b7Ba540066d11B457E58fA?chain=BSC,False,False,False,False,,https://t.me/cactustoken,https://twitter.com/cactustokenbsc,https://cactustoken.com/,Fair Launch,2023.02.18 16:00 (UTC),2023.02.20 16:00 (UTC)
22,AI Doge,200,BNB,$154.2K,Upcoming,219 / 4.6K,03:03:44:23,https://www.pinksale.finance/launchpad/0x04347480c439E2C1d17f6968E0Fd54045267b8F8?chain=BSC,True,False,True,False,,https://t.me/AIDogeChat,https://twitter.com/AIDogeBsc,https://aidogebsc.com/,Whitelist,2023.01.28 15:30 (UTC),2023.01.29 15:30 (UTC)
23,Aniwar Token,80K,BUSD,$2M,7.2K/80K,724 / 22.8K,00:00:00:00,https://www.pinksale.finance/launchpad/0x8E8348E512De279866de6620b8C75B2440c1Be11?chain=BSC,True,False,True,False,https://discord.gg/k3RgKHMv9g,https://t.me/AniWarGlobal,https://twitter.com/AniwarOfficial,https://aniwar.io,Whitelist,2023.01.25 11:00 (UTC),2023.01.27 05:00 (UTC)
24,Howl Finance,Fairlaunch,BNB,$29.5K,29.1/20,182 / 2.2K,00:00:00:00,https://www.pinksale.finance/launchpad/0x0E0E9646C1b78CF608DcBbBC688BcB2cf717AaB1?chain=BSC,True,False,True,False,,https://t.me/HowlToken,https://twitter.com/Howlfinance,https://www.howlfinance.com/,Fair Launch,2023.01.23 18:00 (UTC),2023.01.30 18:00 (UTC)
25,Elancing,Fairlaunch,BNB,$75.3K,Upcoming,110 / 1.7K,01:08:14:12,https://www.pinksale.finance/launchpad/0x312484C6EA90FD52D36Ea3Eae55eF279CC180d1E?chain=BSC,True,False,True,True,,https://t.me/elancing,https://twitter.com/elancing24,https://elancing.net,Fair Launch,2023.01.26 20:00 (UTC),2023.01.29 20:00 (UTC)
26,Coinhound,Fairlaunch,BNB,$7.5K,Upcoming, / 47,00:03:30:12,https://www.pinksale.finance/launchpad/0x2dE5CF4079D546B5c639D26E6249C1F2A492B9EC?chain=BSC,True,False,True,False,https://discord.gg/rvtbttqvhK,https://t.me/coinhoundportal,https://twitter.com/coinhoundio,https://coinhound.io/,Fair Launch,2023.01.25 15:16 (UTC),2023.02.01 15:16 (UTC)
27,iStable,200,BNB,$120.5K,Upcoming,840 / 8K,00:06:14:12,https://www.pinksale.finance/launchpad/0xd2861F148EcF1226A24fd7FbB070cFFb70A6Fb1e?chain=BSC,True,False,True,True,,https://t.me/iStableOfficial,https://twitter.com/istableofficial,http://i-Stable.com,Public Presale,2023.01.25 18:00 (UTC),2023.01.26 18:00 (UTC)
28,FameVerse,Fairlaunch,BNB,$8.4K,11.4/1,35 / 286,00:00:00:00,https://www.pinksale.finance/launchpad/0x851B180cd62d9d8Fc5Aa32E90b9cecfe6dD09019?chain=BSC,False,False,False,False,,https://t.me/FameVerseFMV,https://twitter.com/fameversefmv?s=21&t=qpN3caK6EBxamRgy5G9AJw,https://fameverses.com/,Fair Launch,2023.01.24 21:00 (UTC),2023.01.25 21:00 (UTC)
29,CryptoBunnyClub,Fairlaunch,BNB,$301,0.2/50,16 / 469,00:00:00:00,https://www.pinksale.finance/launchpad/0xf95555A4CA8295413419e5D9f6534156e835a18D?chain=BSC,False,False,False,False,,https://t.me/CryptoBunnyClub,https://twitter.com/crypbunclub,https://cb-club.org,Fair Launch,2023.01.23 19:00 (UTC),2023.01.30 19:00 (UTC)
30,Fuzzy,30K,BUSD,$13.6M,Upcoming,15 / 197,01:06:14:12,https://www.pinksale.finance/launchpad/0x96A312Bcca0C1e98a47983384cd3b304fc9fB3b2?chain=BSC,False,False,False,False,https://discord.gg/Un3zJsajX2,https://t.me/FuzzyOcean,https://twitter.com/FuzzyOcean,https://fuzzyocean.com/,Public Presale,2023.01.26 18:00 (UTC),2023.02.09 18:00 (UTC)
31,Lynx,1.2K,AVAX,$108.4K,139/1.2K,N/A,00:00:00:00,https://www.pinksale.finance/launchpad/0x33ff449d880dE6de4B0972a6787839742d8c73e2?chain=AVAX,False,False,False,False,https://discord.gg/lynxfinance,,https://twitter.com/Lynx_Finance,https://lynxfinance.net/,Public Presale,2023.01.20 16:00 (UTC),2023.01.31 16:00 (UTC)
32,SHIBAS Token,Fairlaunch,BNB,$1.2K,2.3/2,8 / 175,00:00:00:00,https://www.pinksale.finance/launchpad/0x94b661CF163B496B860125Ab749Fb86EaeeA47f4?chain=BSC,False,False,False,False,,https://t.me/shibastokenofficial,https://twitter.com/shibas_token,https://www.shibastoken.com/,Fair Launch,2023.01.20 00:45 (UTC),2023.01.27 00:19 (UTC)
33,GPT,150,ETH,$619.2K,0/150, / 169,00:00:00:00,https://www.pinksale.finance/launchpad/0x5ef69Ae49bA90Ed29395E8390f3ab06009636F95?chain=ETH,False,False,False,False,https://discord.gg/xTnwEjC3,https://t.me/GPT_Token,https://twitter.com/gpteth,https://chatgpttoken.io/,Public Presale,2023.01.21 19:00 (UTC),2023.02.04 19:00 (UTC)
34,SwirlToken,Fairlaunch,ETH,$3.1K,1.3/32,38 / 1.2K,00:00:00:00,https://www.pinksale.finance/launchpad/0x917e5e52AC55098d8CAa1709E33178aAdD9D4901?chain=ETH,True,False,True,False,,https://t.me/SwirlToken,https://twitter.com/hubswirl,https://www.swirltoken.com,Fair Launch,2023.01.23 16:00 (UTC),2023.01.30 16:00 (UTC)
35,networq,100,BNB,$90.4K,1.3/100,611 / 4.5K,00:00:00:00,https://www.pinksale.finance/launchpad/0x73B7fF0D889660aF4B417Cc3b0C49ab8726baAD8?chain=BSC,False,False,False,False,,https://t.me/networq_online,https://twitter.com/networq_online,https://token.networq.online,Public Presale,2023.01.21 18:00 (UTC),2023.02.18 23:59 (UTC)
36,eVault,100,BNB,$552.1K,Upcoming,62 / 1.1K,22:06:15:12,https://www.pinksale.finance/launchpad/0x2e1C2988Cd6274D05A09d312E952399863E57f44?chain=BSC,False,False,False,False,,https://t.me/eVaultProject,https://twitter.com/eVaultProject,https://www.evaultproject.com/,Public Presale,2023.02.16 18:01 (UTC),2023.02.20 18:00 (UTC)
37,NOTAX,10,ETH,$31K,Upcoming, / 828,01:05:14:12,https://www.pinksale.finance/launchpad/0x78ad1d9801Ff8da76eAe64Aa529c35c616A8134B?chain=ETH,False,False,False,False,,http://t.me/NOTAX,https://twitter.com/NOTAXtoken,https://notax.app/,Whitelist,2023.01.26 17:00 (UTC),2023.01.27 17:00 (UTC)
38,Quadrium,400,BNB,$1.3M,5.1/400,243 / 5.9K,00:00:00:00,https://www.pinksale.finance/launchpad/0xbdfb5F7D52733F9fC95316814948F52a0A9DFD3D?chain=BSC,False,False,False,False,,https://t.me/QuadriumCompanychat,https://twitter.com/QuadriumCompany?t=mIO7GFMayEO0zIjLfbI8rw&s=09,https://quadriumcompany.com/,Public Presale,2023.01.19 15:00 (UTC),2023.01.25 15:00 (UTC)
39,GFE,100,BNB,$39.4M,Upcoming,191 / 3.1K,01:00:18:11,https://www.pinksale.finance/launchpad/0xd9Fa6cB3ECC619e46A6B479CeC2F05581253847c?chain=BSC,True,True,True,False,,https://t.me/GFEtoken,https://twitter.com/GFEToken_Global/status/1615019396614725638,https://gfetoken.io/,Public Presale,2023.01.26 12:04 (UTC),2023.01.28 15:04 (UTC)
40,Virgin Galactic,3.3K,BNB,$2.2M,0/3.3K,11 / 440,00:00:00:00,https://www.pinksale.finance/launchpad/0xcb0e3177E683544C1AA4ABc01fc5b446f47297eC?chain=BSC,False,False,False,False,,https://t.me/virgingalacticofficial,https://twitter.com/virgingalactic,https://www.virgingalactic.com/,Public Presale,2023.01.18 00:01 (UTC),2023.06.30 00:01 (UTC)
41,EPNOC,16K,BNB,$31.7M,0.3/16K,509 / 9.4K,00:00:00:00,https://www.pinksale.finance/launchpad/0xd34bF1Cf09da6009C91Caa98107C42174e049DF5?chain=BSC,False,False,False,False,https://discord.com/invite/hBFnmkV428,https://t.me/epnoc,https://twitter.com/Epnoc5,https://epnoc.io/,Public Presale,2023.01.17 00:02 (UTC),2023.03.07 00:03 (UTC)
42,Green Block Token,800,BNB,$468.4K,Upcoming,119 / 1K,03:04:14:12,https://www.pinksale.finance/launchpad/0xba68DB528b44b50Cd16104aB59CF9E8E536BE2dC?chain=BSC,True,False,True,False,,https://telegram.me/GreenBlock,https://twitter.com/Green_BlockC,https://greenblock-capital.io/,Whitelist,2023.01.28 16:00 (UTC),2023.01.31 16:00 (UTC)
43,BUSD PAY,Fairlaunch,BNB,$18.7K,Upcoming, / 2.7K,08:01:44:12,https://www.pinksale.finance/launchpad/0xC192D24a8Ba11a1770f390Fd1B189CF40bB539A5?chain=BSC,True,False,True,True,,https://t.me/busdpayportal1,https://twitter.com/busd_pay,https://busdpay.org/,Fair Launch,2023.02.02 13:30 (UTC),2023.02.05 13:30 (UTC)
44,Our-Secret,100,ETH,$619.2K,Upcoming, / 29,20:08:14:12,https://www.pinksale.finance/launchpad/0xA246cc5561EaF1bdbAb2e1244634D63E1AF3B45f?chain=ETH,False,False,False,False,,https://t.me/oursecretportal,https://twitter.com/oursecretapp,https://our-secret.app,Public Presale,2023.02.14 20:00 (UTC),2023.02.28 20:00 (UTC)
45,CasolCoin,100,ETH,$15M,0/100, / 2.5K,00:00:00:00,https://www.pinksale.finance/launchpad/0x909b6F1c40e4F8436Cd4F323dC200b3329145646?chain=ETH,False,False,False,False,,https://t.me/casolcoin_official,https://twitter.com/CasolCoin,https://casolcoin.io/,Public Presale,2023.01.16 07:00 (UTC),2023.02.28 23:00 (UTC)
46,Gold Miners Coin,222,BNB,$602.4K,0.3/222, / 54,00:00:00:00,https://www.pinksale.finance/launchpad/0x9e19A37E93FFe088f611221923041631E0252964?chain=BSC,False,False,False,False,,https://t.me/goldminersplay2earn,https://twitter.com/GoldMiners_NFT,https://goldmin.io/,Public Presale,2023.01.15 13:23 (UTC),2023.02.28 23:59 (UTC)
47,Chainlabs DAO,1K,BNB,$3.6M,0/1K,7 / 2.4K,00:00:00:00,https://www.pinksale.finance/launchpad/0xa0130e33Fc2a8aD859c314D460522ED3245eF457?chain=BSC,False,False,False,False,https://discord.gg/cTvZmyTV,https://t.me/chainlabs_dao,https://twitter.com/chainlabs_dao,https://www.chainlabsdao.com,Public Presale,2023.01.16 10:46 (UTC),2023.01.31 10:50 (UTC)
48,Aspirant,151,BNB,$141.3K,0.5/151, / 3.9K,00:00:00:00,https://www.pinksale.finance/launchpad/0xa5731785C0D4174eF0946051771Ea7f6E4672d4e?chain=BSC,False,False,False,False,,https://t.me/aspirantapp,https://twitter.com/aspirant_app,https://www.aspirant.app/,Public Presale,2023.01.14 22:30 (UTC),2023.01.28 22:30 (UTC)
49,CannaChain,200,BNB,$372K,Upcoming, / 440,00:02:14:11,https://www.pinksale.finance/launchpad/0x0b5EE0963D6270E8d6798d5778Db3be70A3E5d50?chain=BSC,True,False,True,False,,https://t.me/cannachainportal,https://twitter.com/cannachaincc,https://cannachain.cc,Whitelist,2023.01.25 14:00 (UTC),2023.01.28 14:00 (UTC)
50,Super Moon Lotto,150,BNB,$304.2K,25.2/150,533 / 11.2K,00:00:00:00,https://www.pinksale.finance/launchpad/0x308fBc05F4341673b3Bf99C5E7882758E5F68F86?chain=BSC,True,False,False,False,https://discord.com/invite/z2CZzb2dxm,https://t.me/supermoonlotto,https://twitter.com/SuperMoonLotto,https://supermoonlotto.com,Public Presale,2023.01.16 00:01 (UTC),2023.01.31 23:59 (UTC)
51,CryptoUnity,3K,BNB,$2.5M,0/3K,204 / 3.5K,00:00:00:00,https://www.pinksale.finance/launchpad/0x0dd32DecDBeBF369Ace26e42bfEB293ef29Ba89D?chain=BSC,False,False,False,False,,https://t.me/cryptounity_cut,https://twitter.com/CryptoUnityCUT,https://cryptounity.org/,Whitelist,2023.01.18 18:39 (UTC),2023.02.22 18:39 (UTC)
52,MetaGold,500,BNB,$27.1M,0.1/500,1.4K / 26.7K,00:00:00:00,https://www.pinksale.finance/launchpad/0x1B01b23bBC93B81115Fce56F757986a66DFC657a?chain=BSC,False,False,False,False,https://discord.gg/YWTk3FUv4e,https://t.me/MetaGoldChat,https://twitter.com/MetaGoldNetwork,https://metagoldverse.com/,Public Presale,2023.01.14 13:00 (UTC),2023.01.25 13:00 (UTC)
53,DefiHarvest,Fairlaunch,BNB,$602,Upcoming,12 / 774,06:03:14:01,https://www.pinksale.finance/launchpad/0xc031826524cA2cFaC8CAec2A12530BB245DE6124?chain=BSC,True,False,False,False,,https://t.me/defihaverst,https://twitter.com/harvest_defi,https://defiharvest.io,Fair Launch,2023.01.31 15:00 (UTC),2023.02.07 15:00 (UTC)
54,DummyLand,300,BNB,$438K,0.4/300,N/A,00:00:00:00,https://www.pinksale.finance/launchpad/0x8da971ad3F8055A4c58c48914A8E36eE3E63A75c?chain=BSC,False,False,False,False,,,https://twitter.com/dummylandai,https://dummyland.ai/,Public Presale,2023.01.09 00:00 (UTC),2023.07.31 23:59 (UTC)
55,Quamfox,800,BNB,$6M,0.1/800,770 / 173.1K,00:00:00:00,https://www.pinksale.finance/launchpad/0x443572b2EBa3bBDBeE5c18FB18429d490CE37A92?chain=BSC,True,False,False,False,,https://t.me/Quamfox,https://twitter.com/quamfox,https://quamfox.com,Public Presale,2023.01.10 08:13 (UTC),2023.02.09 23:14 (UTC)
56,Key Coin ,6,BNB,$60.2M,0.1/6,N/A,00:00:00:00,https://www.pinksale.finance/launchpad/0x99D0c8eAc965b589A16b992D31c5e5a3895DC4dc?chain=BSC,False,False,False,False,,https://t.me/keycoin,https://twitter.com/KeyCoin6,https://keycoin.live/,Public Presale,2023.01.05 12:00 (UTC),2023.01.25 12:00 (UTC)
57,Lucky Number Token,18K,USDC,$60K,12.1/18K,4 / 2.2K,00:00:00:00,https://www.pinksale.finance/launchpad/0xb5C96067C7af98af080935a8c5B148615dA5eff3?chain=Matic,False,False,False,False,https://discord.gg/byRc2zw6Td,https://t.me/luckynumber_farms,https://twitter.com/luckynumberfarm,https://polygon.luckynumber.farm,Public Presale,2022.12.29 17:00 (UTC),2023.02.07 12:00 (UTC)
58,MDCx,2K,BNB,$727.6M,0.2/2K,8 / 324,00:00:00:00,https://www.pinksale.finance/launchpad/0x059B48B476564e2aD200fc68BBA8Dc0803157732?chain=BSC,False,False,False,False,,https://t.me/MDCxDATIUM,https://twitter.com/MDCxFinance,https://datium.info,Public Presale,2022.12.27 20:00 (UTC),2023.01.30 23:59 (UTC)
59,Family,20,ETH,$7.6M,0/20, / 29,00:00:00:00,https://www.pinksale.finance/launchpad/0xC4Ea8853c47B497072d6AC2214CE9C120481078c?chain=ETH,False,False,False,False,,https://t.me/familycoin2022,,https://cointool.app/tokenView?id=bafkreidrdlrblqhen5kouy2a6uoqcvgv6twqzwia66b5drjsj4pnrmvowy,Public Presale,2022.12.27 01:01 (UTC),2023.01.31 23:59 (UTC)
60,WOLF,10,ETH,$5.2M,0/10,43 / 24.6K,00:00:00:00,https://www.pinksale.finance/launchpad/0xe123637D3eae5234AC2C246F8eA09ff736c6730e?chain=ETH,False,False,False,False,https://discord.com/channels/1056310541418758184/1056310541905317959,https://t.me/WOLFPACKOFVICTORIES,,https://cointool.app/tokenView?id=bafkreiaqtg3bhmhj352iqp4gqhohajavkpog3lwnihijv6hhszowowmdou,Public Presale,2022.12.26 18:59 (UTC),2023.02.01 13:45 (UTC)
61,REX,15,ETH,$1.5M,0/15,43 / 24.6K,00:00:00:00,https://www.pinksale.finance/launchpad/0xFD78364009B2EAFFFB44BF2156C9082B3428eB87?chain=ETH,False,False,False,False,https://discord.com/channels/1056310541418758184/1056310541905317959,https://t.me/WOLFPACKOFVICTORIES,,https://cointool.app/tokenView?id=bafkreiaqtg3bhmhj352iqp4gqhohajavkpog3lwnihijv6hhszowowmdou,Public Presale,2022.12.26 18:30 (UTC),2023.01.31 20:30 (UTC)
62,Lisprocoin,20M,MATIC,$19T,0/20M,N/A,00:00:00:00,https://www.pinksale.finance/launchpad/0xb34BD5257D1872859D2102CdCd13D52ddbb2B5C6?chain=Matic,False,False,False,False,,https://t.me/lisprocoin,https://mobile.twitter.com/lisprocoin,https://lisprocoin.net,Public Presale,2022.12.23 07:00 (UTC),2023.02.14 19:46 (UTC)
63,SteakD,1.2K,BNB,$1M,Upcoming,41 / 500,05:10:14:01,https://www.pinksale.finance/launchpad/0xa9324ac6631928923559EE203241507f68411667?chain=BSC,True,False,True,False,https://discord.gg/sP6Ag2hQxm,https://t.me/+8bf5nBJ7bioyMTRk,http://www.twitter.com/steakdtx,http://www.steakd.com,Public Presale,2023.01.30 22:00 (UTC),2023.02.04 22:00 (UTC)
64,My K9 Bites,100M,CRO,$1.6B,0/100M,N/A,00:00:00:00,https://www.pinksale.finance/launchpad/0x2F9ee1d80E9f4482370350Bf37Bfbbd809408808?chain=Cronos,False,False,False,False,,,,http://myk9biteshard.com,Public Presale,2022.12.21 05:00 (UTC),2023.05.17 00:07 (UTC)
65,BinaryThings,Fairlaunch,BNB,$146.7K,Upcoming, / 50,03:22:44:01,https://www.pinksale.finance/launchpad/0xc220002e16ed7efec5632c7771b6Ad629592ACB1?chain=BSC,False,False,False,False,,https://t.me/Digital_Oasis,,https://binarythings.koji.site/,Fair Launch,2023.01.29 10:30 (UTC),2023.02.05 10:30 (UTC)
66,norf inu,102,ETH,$1.6M,0/102, / 72,00:00:00:00,https://www.pinksale.finance/launchpad/0x11C003147Df6D0E4A45A2b9574CFf59098461D7A?chain=ETH,False,False,False,False,,https://t.me/trunorfteam,https://mobile.twitter.com/Trunorfteam,https://norfinu.com,Public Presale,2022.12.01 20:15 (UTC),2023.03.01 20:15 (UTC)
67,4LEAF CLOVER,118,BNB,$362.4K,0.1/118,12 / 669,00:00:00:00,https://www.pinksale.finance/launchpad/0xCcbE1774a73Cb7A279d78c0126D82ce39D393383?chain=BSC,True,False,False,False,,https://t.me/flcluck,https://twitter.com/4leafcloverofc,http://4lc.site/,Public Presale,2022.12.08 08:08 (UTC),2023.02.08 08:08 (UTC)
68,HopiumSwap Token,600K,USDT,$2M,0/600K,33 / 1.6K,00:00:00:00,https://www.pinksale.finance/launchpad/0xF17d1B1adb357A07FF9DeD2a90a0fDE1BB920AdD?chain=Matic,False,False,False,False,https://discord.gg/UwAGWGrjTy,https://t.me/HopiumSwapExchange,https://twitter.com/HopiumSwap,https://docs.hopiumswap.info/product-docs/,Public Presale,2022.11.26 00:00 (UTC),2023.01.31 20:21 (UTC)
69,Billion Local Coin,1.6K,BNB,$4.8M,0.1/1.6K,12 / 2.2K,00:00:00:00,https://www.pinksale.finance/launchpad/0x3E74079E7Ef89144E86373A3292F929B930A98Bb?chain=BSC,False,False,False,False,,https://t.me/BLC_Community,https://twitter.com/billionBLC,https://billionlocalcoin.xyz,Public Presale,2022.11.22 22:00 (UTC),2023.01.31 22:00 (UTC)
70,Sorposis Token,60K,MATIC,$950.2K,11/60K, / 171,00:00:00:00,https://www.pinksale.finance/launchpad/0x8EF5c611c16C289Ce04D0e87C2aC5b82D9c74E67?chain=Matic,False,False,False,False,https://discord.com/invite/8BNdpP8GKz,https://t.me/sorposis,https://twitter.com/sorposis,http://sorposis.com/,Public Presale,2022.11.17 15:00 (UTC),2023.11.17 15:00 (UTC)
